,CVProcessado,vidaInstalacao,vidaHidrometro,hid_imo_qtd_pontos_utilizacao,QtdMedicoes,QtdOcorrencias,qtd_instalacao,variacaoTendencia,bhc_dsc_status,IDHidrometro
6604,0.28738656476044583,0.0,9.0,6.0,19.0,0.0,2.0,0.06666666666666665,1,A09F225016
6605,0.28738656476044583,0.0,9.0,6.0,19.0,0.0,2.0,0.06666666666666665,1,A09F225016
6606,0.07856742013183862,0.0,0.0,6.0,3.0,0.0,1.0,0.0,1,A18N225097
6608,0.6987332397051385,10.0,10.0,5.0,25.0,2.0,1.0,1.4249999999999998,0,A08F408115
6609,0.430412823330942,0.0,0.0,5.0,3.0,0.0,1.0,0.0,0,A18N104138
6611,0.7237313172260211,6.0,7.0,4.0,25.0,1.0,1.0,1.9565217391304346,1,A11F229650
6612,0.2536712392257346,3.0,12.0,8.0,25.0,0.0,2.0,0.20779220779220786,0,A06F317948
6613,0.0,0.0,0.0,14.0,3.0,0.0,1.0,0.0,1,A18N213036
6614,0.167649959366949,8.0,9.0,6.0,25.0,0.0,1.0,0.17525773195876293,0,A09F210792
6615,0.10640064137932462,4.0,7.0,6.0,25.0,0.0,3.0,0.0738255033557047,0,A11F041249
6617,0.10882007593971707,1.0,1.0,19.0,12.0,0.0,1.0,0.27472527472527464,1,A17F108188
6618,0.6155367429243681,3.0,9.0,13.0,25.0,2.0,2.0,0.049180327868852514,0,A09F320938
6619,0.4721255924606994,1.0,5.0,4.0,17.0,0.0,2.0,2.0,0,A13F218877
6620,0.4721255924606994,1.0,5.0,23.0,17.0,0.0,2.0,2.0,0,A13F218877
6621,0.7194336660197723,1.0,2.0,11.0,21.0,0.0,1.0,2.0135135135135136,0,A16F260018
6622,0.44962360597359263,8.0,8.0,1.0,25.0,0.0,1.0,0.05785123966942152,0,A10F094824
6623,0.7008585947550808,5.0,13.0,9.0,25.0,0.0,1.0,0.7866666666666666,1,A05L075063
6624,0.09428090415820635,0.0,0.0,9.0,3.0,0.0,1.0,0.0,1,A18N146707
6626,0.19141046866135622,3.0,7.0,5.0,25.0,0.0,2.0,-0.14093959731543626,0,A11F233837
6627,0.5412766102724915,0.0,0.0,3.0,6.0,0.0,1.0,0.39534883720930236,1,A18N020051
6628,1.0044701501152749,3.0,3.0,20.0,25.0,0.0,1.0,0.3693181818181819,1,A15F072320
6629,0.0,0.0,0.0,18.0,3.0,0.0,1.0,0.0,1,A18N136748
6630,0.8047333951720023,3.0,12.0,12.0,25.0,0.0,2.0,-0.547945205479452,0,A06F370761
