IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,valido,PROBA
A05F105984,5711649,0.1161835,25,0,4,0.04040404,14,11,0,"0,6924",11,13.0,13.0,5711649,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6924"
A00S630133,2095645,0.22804987,25,0,9,-0.13103448,19,10,0,692,11,15.0,15.0,2095645,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,692"
A12F098968,4465687,0.17738353,25,0,17,-0.06666667,7,7,0,"0,6914",11,14.0,14.0,4465687,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6914"
A15F212629,6651828,0.21591325,25,0,20,-0.28947368,4,4,0,"0,6914",11,48.0,49.0,6651828,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6914"
A05F105711,5893895,0.28808647,25,0,5,0.734375,14,10,0,691,11,10.0,10.0,5893895,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,691"
A05F105956,5893909,0.11700084,25,0,5,-25,14,10,0,"0,6904",11,10.0,10.0,5893909,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6904"
A10F060110,2598850,0.64355624,25,4,11,2.857143,9,5,0,"0,6904",11,10.0,10.0,2598850,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6904"
A08F496048,5892759,0.14955556,25,0,1,0.029411765,11,10,0,"0,69",11,13.0,13.0,5892759,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,69"
A08F499932,5863104,0.24198188,25,0,1,-0.045454547,11,10,0,"0,69",11,18.0,18.0,5863104,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,69"
A05F105730,5711703,0.1360841,25,0,4,0.06382979,14,11,0,"0,6895",11,18.0,18.0,5711703,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6895"
A05F105962,5893704,0.25579166,25,0,5,0.46938777,14,10,0,689,11,9.0,9.0,5893704,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,689"
A08F234756,891789,0.42197475,25,0,4,1.2926829,11,8,0,"0,6885",11,9.0,9.0,891789,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6885"
A05F105443,5733790,0.076531835,25,0,4,0.046728972,14,10,0,688,11,14.0,14.0,5733790,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,688"
A02S433680,2593696,0.34557375,25,7,3,-0.78571427,17,9,0,686,11,10.0,11.0,2593696,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,686"
A11N329783,2115247,0.1942269,25,0,14,-0.2327044,8,7,0,"0,6846",11,18.0,18.0,2115247,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6846"
A05F105831,5736277,0.53453547,25,0,5,1.3055556,14,10,0,"0,6836",11,10.0,10.0,5736277,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,6836"
A05F105979,5893801,0.13228756,25,0,5,0.22222222,14,10,0,683,11,10.0,10.0,5893801,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,683"
A05F105762,5736811,0.12819391,25,0,5,0.05970149,14,10,0,683,11,10.0,8.0,5736811,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,683"
A11N243858,4464192,0.34610933,25,0,14,-0.097222224,8,7,0,"0,6826",11,9.0,9.0,4464192,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,6826"
A12F367363,9105638,0.30958432,25,0,16,-0.30769232,7,6,0,"0,6816",11,10.0,10.0,9105638,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1,#REF!,"0,6816"
A10F160777,4473108,0.69956166,25,5,12,1.4827586,9,5,0,681,11,9.0,9.0,4473108,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,MEDIO,EM USO,1,1,#REF!,"0,681"
A03S450715,3199770,0.22178692,25,0,10,-0.33333334,16,10,0,"0,68",11,13.0,13.0,3199770,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,68"
A05F105754,5714427,0.12085741,25,0,4,-0.15789473,14,10,0,"0,68",11,15.0,15.0,5714427,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1,#REF!,"0,68"
A10F060539,4472977,0.20989904,25,2,17,-0.32231405,9,5,0,"0,68",11,13.0,13.0,4472977,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,68"
A11F329264,5490103,0.4760666,25,0,13,-0.3783784,8,7,0,"0,6797",11,9.0,9.0,5490103,63,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1,#REF!,"0,6797"
