IMO_BSK_IMOVEL,GEO_SET_NUM_SETOR,GEO_LGE_DSC_LOCALIDADE_PRAX,GEO_LGE_DSC_DISTRITO_PRAX,GEO_LGE_DSC_MUNICIPIO_PRAX,GEO_UAD_SGL_UNIDADE_NEGOCIO,PIM_DSC_PADRAO_IMOVEL,SII_NOM_SITUACAO_IMOVEL,SLA_NOM_SITUACAO_LIG_AGUA,proba
14097729,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6387"
2435748,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,638"
6733140,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,638"
7814267,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,638"
14392488,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,638"
14394138,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,638"
750042,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6377"
6629938,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6377"
5075912,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,637"
7359764,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,637"
9047573,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,637"
10401466,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,637"
14355280,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,637"
14408635,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,637"
6249019,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6367"
8994102,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6367"
6294774,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,636"
6578187,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,636"
6764703,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,636"
9091076,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,636"
14386569,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6357"
7001223,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6353"
14070049,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6353"
2338424,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,635"
3080692,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,635"
5220513,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,635"
10237062,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,635"
780669,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6343"
6790402,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6343"
5030366,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,634"
6132073,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,634"
6248977,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,634"
2433141,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6333"
2496852,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6333"
5649552,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6333"
5890390,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6333"
6961533,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6333"
14352036,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6333"
2524341,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,633"
5061520,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,633"
6349226,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,633"
10273735,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,633"
14340470,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,633"
14366894,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,633"
5031524,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6323"
5480230,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6323"
5873630,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6323"
5883547,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6323"
6537863,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6323"
10086811,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6323"
10205004,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6323"
10231722,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6323"
10490329,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6323"
6379885,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,632"
6531709,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,632"
7111290,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,632"
7701756,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,632"
7837194,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,632"
7840152,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,632"
794023,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6313"
7352115,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6313"
8415331,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6313"
2452294,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,631"
6749569,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,631"
8770620,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,631"
2438275,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6304"
6583270,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6304"
7814143,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6304"
10603883,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,6304"
14391422,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6304"
14393611,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,6304"
14407973,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,B�SICO,EM USO,1,"0,6304"
2561000,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,63"
5073502,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,"0,63"
6255647,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,"0,63"
3833925,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,M�DIO,EM USO,1,"0,6294"
