ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43572091,55953786,GERADO PELO SISTEMA
43572064,55953271,GERADO PELO SISTEMA
43572116,55966292,GERADO PELO SISTEMA
43572038,56283709,GERADO PELO SISTEMA
43531258,55966411,GERADO PELO MODELO
43531257,55966403,GERADO PELO MODELO
43571955,55966454,GERADO PELO SISTEMA
43572168,55966543,GERADO PELO SISTEMA
43571972,55966462,GERADO PELO SISTEMA
43571959,55959822,GERADO PELO SISTEMA
43571997,56471521,GERADO PELO SISTEMA
43531382,56272073,GERADO PELO MODELO
43531324,56170483,GERADO PELO MODELO
43531323,56170416,GERADO PELO MODELO
43571982,56170475,GERADO PELO SISTEMA
43531326,56170955,GERADO PELO MODELO
43571954,56170890,GERADO PELO SISTEMA
43531385,56275277,GERADO PELO MODELO
43531369,56220324,GERADO PELO MODELO
43531368,56220120,GERADO PELO MODELO
43531367,56219121,GERADO PELO MODELO
43531341,56190328,GERADO PELO MODELO
43531312,56161239,GERADO PELO MODELO
43531311,56160607,GERADO PELO MODELO
43572135,56219920,GERADO PELO SISTEMA
43572099,56158068,GERADO PELO SISTEMA
43572010,57010668,GERADO PELO SISTEMA
43531352,56197705,GERADO PELO MODELO
43531389,56276281,GERADO PELO MODELO
43531348,56191677,GERADO PELO MODELO
43531347,56191618,GERADO PELO MODELO
43531266,56052723,GERADO PELO MODELO
43572015,56052804,GERADO PELO SISTEMA
43572056,56025386,GERADO PELO SISTEMA
43572024,56052693,GERADO PELO SISTEMA
43571962,56170378,GERADO PELO SISTEMA
43571961,56540833,GERADO PELO SISTEMA
43571953,56170777,GERADO PELO SISTEMA
43531322,56170157,GERADO PELO MODELO
43531321,56170106,GERADO PELO MODELO
43531314,56167172,GERADO PELO MODELO
43531313,56166621,GERADO PELO MODELO
43572079,56046405,GERADO PELO SISTEMA
43531295,56133480,GERADO PELO MODELO
43572093,56058314,GERADO PELO SISTEMA
43531381,56272030,GERADO PELO MODELO
43531372,56222513,GERADO PELO MODELO
43531356,56204701,GERADO PELO MODELO
43531337,56176066,GERADO PELO MODELO
43531426,56552386,GERADO PELO MODELO
43571960,56180330,GERADO PELO SISTEMA
43572034,56600780,GERADO PELO SISTEMA
43572125,55953107,GERADO PELO SISTEMA
43572070,55953654,GERADO PELO SISTEMA
43572001,55966659,GERADO PELO SISTEMA
43531253,55954073,GERADO PELO MODELO
43531252,55953808,GERADO PELO MODELO
43531251,55953700,GERADO PELO MODELO
43531250,55953662,GERADO PELO MODELO
43531249,55953468,GERADO PELO MODELO
43572072,55953166,GERADO PELO SISTEMA
43531397,56285779,GERADO PELO MODELO
43572009,55953956,GERADO PELO SISTEMA
43572136,55953999,GERADO PELO SISTEMA
43572131,55953425,GERADO PELO SISTEMA
43572090,55953212,GERADO PELO SISTEMA
43572066,55953557,GERADO PELO SISTEMA
43572052,55953204,GERADO PELO SISTEMA
43572032,55966110,GERADO PELO SISTEMA
43572016,56343990,GERADO PELO SISTEMA
43531248,55953158,GERADO PELO MODELO
43531404,56354738,GERADO PELO MODELO
43531403,56354649,GERADO PELO MODELO
43572129,55953409,GERADO PELO SISTEMA
43571987,55953034,GERADO PELO SISTEMA
43531260,56000740,GERADO PELO MODELO
43572019,56001266,GERADO PELO SISTEMA
43571958,56190786,GERADO PELO SISTEMA
43572088,56190808,GERADO PELO SISTEMA
43571968,56115920,GERADO PELO SISTEMA
43531302,56158025,GERADO PELO MODELO
43531263,56043821,GERADO PELO MODELO
43531262,56037449,GERADO PELO MODELO
43531261,56001258,GERADO PELO MODELO
43531444,57011214,GERADO PELO MODELO
43531400,56342519,GERADO PELO MODELO
43572053,56001738,GERADO PELO SISTEMA
43572004,56158122,GERADO PELO SISTEMA
43571985,56158149,GERADO PELO SISTEMA
43572134,56003617,GERADO PELO SISTEMA
43572113,56044496,GERADO PELO SISTEMA
43572060,56063890,GERADO PELO SISTEMA
43572021,56040512,GERADO PELO SISTEMA
43531411,56459980,GERADO PELO MODELO
43531294,56128959,GERADO PELO MODELO
43531425,56552300,GERADO PELO MODELO
43572149,56128940,GERADO PELO SISTEMA
43531391,56277679,GERADO PELO MODELO
43531272,56054041,GERADO PELO MODELO
43531271,56053991,GERADO PELO MODELO
43531419,56525095,GERADO PELO MODELO
43531418,56524790,GERADO PELO MODELO
43572097,56054017,GERADO PELO SISTEMA
43571988,56054033,GERADO PELO SISTEMA
43572084,56053932,GERADO PELO SISTEMA
43572063,56266537,GERADO PELO SISTEMA
43572007,55968988,GERADO PELO SISTEMA
43571994,57042977,GERADO PELO SISTEMA
43571966,55967370,GERADO PELO SISTEMA
43531394,56279744,GERADO PELO MODELO
43531392,56278640,GERADO PELO MODELO
43572112,56278730,GERADO PELO SISTEMA
43531421,56539681,GERADO PELO MODELO
43572067,56160828,GERADO PELO SISTEMA
