IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca,PROBA,EXISTE
A11N319860,56279833,0.25952417,13,0,7,-0.24731183,8,8,0,"0,6406",11,10.0,10.0,56279833,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,MEDIO,EM USO,1,1,"0,6406",
A04S158066,56158408,0.16505158,13,0,6,0.12857144,15,9,0,"0,6396",11,9.0,9.0,56158408,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6396",
A08F465859,56278640,0.07303921,13,0,68,0.06,11,11,0,"0,6396",11,45.0,45.0,56278640,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,ALTO,EM USO,1,1,"0,6396",
A09F247662,56115830,0.098861836,13,0,4,-0.09589041,10,10,0,"0,6396",11,18.0,18.0,56115830,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6396",
A09F192559,56475713,0.15824826,13,0,3,0.38235295,10,10,0,639,11,14.0,14.0,56475713,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,639",
A10F554878,56239750,0.17515804,13,0,6,-0.20689656,9,8,0,639,11,10.0,10.0,56239750,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,639",
A11F219794,56222033,0.091905236,13,1,3,-0.04819277,8,7,0,639,11,10.0,10.0,56222033,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,639",
A05F124408,56272278,0.14960922,13,0,3,0.015384615,14,9,0,638,11,9.0,9.0,56272278,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,638",
A04S320234,56184697,0.10142285,13,0,6,-0.025641026,15,11,0,638,11,10.0,10.0,56184697,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,638",
A10F168203,56533675,0.18138698,13,0,6,-0.119266056,9,9,0,638,11,14.0,14.0,56533675,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,638",
A08F352170,56128959,0.26938784,13,0,3,0.484375,11,8,0,"0,6377",11,9.0,9.0,56128959,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6377",
A10F055384,56197705,0.1483468,13,0,4,0.014705882,9,6,0,"0,6377",11,9.0,9.0,56197705,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,6377",
A10F086796,56053045,0.09045073,13,0,5,0.013157895,9,8,0,"0,6377",11,9.0,9.0,56053045,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6377",
A07F305900,56220120,0.3079456,13,0,4,0.7096774,12,11,0,637,11,13.0,13.0,56220120,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,BASICO,EM USO,1,1,"0,637",
A04L539545,56276303,0.18284144,13,0,3,0.16666667,15,10,0,"0,6367",11,13.0,13.0,56276303,13,CAUCAIA,CAUCAIA,CAUCAIA,UN-MTN,REGULAR,EM USO,1,1,"0,6367",
