IDHidrometro,hid_imo_cod_inscricao,CVProcessado,QtdMedicoes,QtdOcorrencias,hid_imo_qtd_pontos_utilizacao,variacaoTendencia,vidaHidrometro,vidaInstalacao,predicao,proba_0,ESM_SEQ_ESPECIFICACAO_MEDIDOR,MED_NUM_VOLUME_CALCULADO,MED_NUM_VOLUME_MEDIDO,imo_bsk_imovel,geo_set_num_setor,geo_lge_dsc_localidade_prax,geo_lge_dsc_distrito_prax,geo_lge_dsc_municipio_prax,geo_uad_sgl_unidade_negocio,pim_dsc_padrao_imovel,sii_nom_situacao_imovel,sla_nom_situacao_lig_agua,provavel_mudanca
A08F285545,7949626,0.6190279,13,2,5,0.5777778,11,11,0,0.6294,11,9.0,9.0,7949626,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F351205,7837194,0.42947766,13,0,5,0.55813956,11,6,0,0.632,11,9.0,9.0,7837194,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F454896,5043328,0.24474877,13,2,5,0.14285715,11,11,0,0.6113,11,14.0,14.0,5043328,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F416839,5648890,0.20559287,13,0,2,-0.027777778,11,11,0,0.5903,11,9.0,9.0,5648890,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F414920,768804,0.13759334,13,0,11,0.0,11,11,0,0.6177,11,10.0,10.0,768804,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F414723,785172,0.32226813,13,0,2,0.0625,11,11,0,0.583,11,9.0,9.0,785172,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F415112,8394300,0.16488,13,0,4,0.077922076,11,11,0,0.609,11,10.0,10.0,8394300,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F420109,9414533,0.176634,13,1,3,0.102564104,11,5,0,0.611,11,13.0,13.0,9414533,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F429518,3127699,0.814552,13,0,6,0.22142857,11,11,0,0.6416,11,20.0,20.0,3127699,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F456394,7358482,0.7343276,13,8,6,0.49425286,11,11,0,0.6216,11,9.0,9.0,7358482,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F422325,3080692,0.14024593,13,0,7,0.118644066,11,11,0,0.635,11,9.0,9.0,3080692,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F459082,10810161,2.079164,13,0,9,8.039474,11,11,0,0.6113,11,15.0,15.0,10810161,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,ALTO,EM USO,1,1
A08F455026,5031524,0.6057608,13,2,5,3.090909,11,11,0,0.6323,11,10.0,10.0,5031524,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F457116,7111290,0.23446205,13,0,4,0.3272727,11,11,0,0.632,11,9.0,9.0,7111290,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F459170,8105723,0.08640601,13,0,6,0.029850746,11,11,0,0.61,11,9.0,9.0,8105723,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F454941,6764703,0.3886408,13,0,4,1.1388888,11,11,0,0.636,11,9.0,9.0,6764703,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F500819,6790100,0.49790066,13,0,4,1.2631578,11,10,0,0.6294,11,10.0,10.0,6790100,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F458012,5053994,0.17802869,13,3,3,0.03125,11,11,0,0.5864,11,9.0,9.0,5053994,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F479148,5028264,0.8104238,13,2,5,0.6666667,11,10,0,0.642,11,9.0,9.0,5028264,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,BASICO,EM USO,1,1
A08F489902,790940,0.20041184,13,0,5,-0.023809524,11,11,0,0.6055,11,10.0,10.0,790940,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F482828,6724558,0.61351943,13,0,4,3.4230769,11,11,0,0.6157,11,14.0,14.0,6724558,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
A08F484729,5065267,0.47510913,13,9,5,-0.53846157,11,11,0,0.5957,11,9.0,9.0,5065267,55,FORTALEZA,FORTALEZA,FORTALEZA,UN-MTS,REGULAR,EM USO,1,1
