ITA_SEQ_ITEM_ATENDIMENTO,IMO_COD_INSCRICAO,ORIGEM
43345943,8716722,GERADO PELO MODELO
43393455,6651763,GERADO PELA UNIDADE
43415841,5927420,GERADO PELO MODELO
43415699,665932,GERADO PELO MODELO
43345984,14354985,GERADO PELO MODELO
43345951,9618350,GERADO PELO MODELO
43345929,8482616,GERADO PELO MODELO
43415738,3199649,GERADO PELO MODELO
43415737,3199550,GERADO PELO MODELO
43415736,3199533,GERADO PELO MODELO
43393736,3199541,GERADO PELA UNIDADE
43415899,6379958,GERADO PELO MODELO
43345974,14030586,GERADO PELO MODELO
43415741,3200493,GERADO PELO MODELO
43393566,3200531,GERADO PELA UNIDADE
43393486,9006966,GERADO PELA UNIDADE
43393666,2982013,GERADO PELA UNIDADE
43393688,3294943,GERADO PELA UNIDADE
43393522,3295028,GERADO PELA UNIDADE
43393582,3295044,GERADO PELA UNIDADE
43393545,3295117,GERADO PELA UNIDADE
43393425,3295036,GERADO PELA UNIDADE
43415877,6132553,GERADO PELO MODELO
43393836,3294471,GERADO PELA UNIDADE
43393767,3294439,GERADO PELA UNIDADE
43393744,3294455,GERADO PELA UNIDADE
43393426,3294501,GERADO PELA UNIDADE
43393646,3294498,GERADO PELA UNIDADE
43415868,6090648,GERADO PELO MODELO
43393658,5189187,GERADO PELA UNIDADE
43393537,3295192,GERADO PELA UNIDADE
43415912,6638899,GERADO PELO MODELO
43415850,5954746,GERADO PELO MODELO
43393477,6638538,GERADO PELA UNIDADE
43393805,6853153,GERADO PELA UNIDADE
43393485,6853420,GERADO PELA UNIDADE
43393684,6853862,GERADO PELA UNIDADE
43415919,6854044,GERADO PELO MODELO
43393447,6854281,GERADO PELA UNIDADE
43393445,6854265,GERADO PELA UNIDADE
43393589,6854214,GERADO PELA UNIDADE
43393569,7218141,GERADO PELA UNIDADE
43393555,7218060,GERADO PELA UNIDADE
43393791,7218150,GERADO PELA UNIDADE
43393434,7218389,GERADO PELA UNIDADE
43393719,10368418,GERADO PELA UNIDADE
43393679,10312757,GERADO PELA UNIDADE
43393780,6145418,GERADO PELA UNIDADE
43393586,6627960,GERADO PELA UNIDADE
43393820,10392025,GERADO PELA UNIDADE
43393565,1824511,GERADO PELA UNIDADE
43393487,7885989,GERADO PELA UNIDADE
43345959,10314610,GERADO PELO MODELO
43393470,7886780,GERADO PELA UNIDADE
43393796,10313974,GERADO PELA UNIDADE
43393506,8012709,GERADO PELA UNIDADE
43415796,4473256,GERADO PELO MODELO
43415795,4473108,GERADO PELO MODELO
43415794,4472977,GERADO PELO MODELO
43393706,4473086,GERADO PELA UNIDADE
43393590,4473213,GERADO PELA UNIDADE
43345999,14395630,GERADO PELO MODELO
43345948,9067604,GERADO PELO MODELO
43393815,2438488,GERADO PELA UNIDADE
43393660,2438615,GERADO PELA UNIDADE
43393593,2861828,GERADO PELA UNIDADE
43393512,2438666,GERADO PELA UNIDADE
43415844,5934206,GERADO PELO MODELO
43415735,2867354,GERADO PELO MODELO
43415717,2262185,GERADO PELO MODELO
43393584,2866803,GERADO PELA UNIDADE
43345896,7806728,GERADO PELO MODELO
43393711,4466993,GERADO PELA UNIDADE
43393703,8998590,GERADO PELA UNIDADE
43345973,11470933,GERADO PELO MODELO
43345970,11145102,GERADO PELO MODELO
43345909,7963610,GERADO PELO MODELO
43393471,8992991,GERADO PELA UNIDADE
43415812,5719976,GERADO PELO MODELO
43415811,5714427,GERADO PELO MODELO
43415810,5711983,GERADO PELO MODELO
43415809,5711703,GERADO PELO MODELO
43415808,5711649,GERADO PELO MODELO
43345982,14341204,GERADO PELO MODELO
43393496,10140832,GERADO PELA UNIDADE
43393492,7277830,GERADO PELA UNIDADE
43393592,7278047,GERADO PELA UNIDADE
43393718,3859630,GERADO PELA UNIDADE
43393542,3859533,GERADO PELA UNIDADE
43415856,5966256,GERADO PELO MODELO
43393701,6563783,GERADO PELA UNIDADE
43393775,6639348,GERADO PELA UNIDADE
43393422,6639399,GERADO PELA UNIDADE
43393691,6638970,GERADO PELA UNIDADE
43393453,6639143,GERADO PELA UNIDADE
43415726,2581140,GERADO PELO MODELO
43393779,10330828,GERADO PELA UNIDADE
43345993,14379740,GERADO PELO MODELO
43415785,4466918,GERADO PELO MODELO
43393490,2429381,GERADO PELA UNIDADE
43393800,2436779,GERADO PELA UNIDADE
43345898,7824718,GERADO PELO MODELO
43345919,8286388,GERADO PELO MODELO
43393519,8286361,GERADO PELA UNIDADE
43393696,2087960,GERADO PELA UNIDADE
43393659,14358506,GERADO PELA UNIDADE
43345991,14375397,GERADO PELO MODELO
43393460,8251592,GERADO PELA UNIDADE
43393787,10305386,GERADO PELA UNIDADE
43345964,10492151,GERADO PELO MODELO
43345945,8921210,GERADO PELO MODELO
43393539,7656157,GERADO PELA UNIDADE
43393528,9092595,GERADO PELA UNIDADE
43393741,7653875,GERADO PELA UNIDADE
43345956,10145419,GERADO PELO MODELO
43393573,6255930,GERADO PELA UNIDADE
43415896,6376746,GERADO PELO MODELO
43345932,8512191,GERADO PELO MODELO
43415883,6138640,GERADO PELO MODELO
43415776,4464192,GERADO PELO MODELO
43415703,2095645,GERADO PELO MODELO
43393781,4464028,GERADO PELA UNIDADE
43393478,4464079,GERADO PELA UNIDADE
43393634,4463951,GERADO PELA UNIDADE
43393440,4464052,GERADO PELA UNIDADE
43415734,2710714,GERADO PELO MODELO
43345988,14366550,GERADO PELO MODELO
43393564,4464710,GERADO PELA UNIDADE
43393526,4464869,GERADO PELA UNIDADE
43393702,4464753,GERADO PELA UNIDADE
43393695,2713616,GERADO PELA UNIDADE
43415778,4465008,GERADO PELO MODELO
43415777,4464923,GERADO PELO MODELO
43415744,3200884,GERADO PELO MODELO
43393710,3201120,GERADO PELA UNIDADE
43415745,3201481,GERADO PELO MODELO
43393819,3201325,GERADO PELA UNIDADE
43393707,3201520,GERADO PELA UNIDADE
43393525,3201376,GERADO PELA UNIDADE
43393491,3201708,GERADO PELA UNIDADE
43415765,4448944,GERADO PELO MODELO
43415764,4448804,GERADO PELO MODELO
43393813,4449029,GERADO PELA UNIDADE
43393669,6664997,GERADO PELA UNIDADE
43345961,10395466,GERADO PELO MODELO
43393608,4448863,GERADO PELA UNIDADE
43415766,4449207,GERADO PELO MODELO
43345903,7947380,GERADO PELO MODELO
43393725,3200124,GERADO PELA UNIDADE
43393835,3199916,GERADO PELA UNIDADE
43393466,3200035,GERADO PELA UNIDADE
43415942,9811761,GERADO PELO MODELO
43415793,4469879,GERADO PELO MODELO
43415792,4469755,GERADO PELO MODELO
43415754,3857778,GERADO PELO MODELO
43393616,4475925,GERADO PELA UNIDADE
43415761,4127722,GERADO PELO MODELO
43393760,4072340,GERADO PELA UNIDADE
43345955,10033297,GERADO PELO MODELO
43393612,4475968,GERADO PELA UNIDADE
43393521,3858146,GERADO PELA UNIDADE
43393427,4145127,GERADO PELA UNIDADE
43415800,4476158,GERADO PELO MODELO
43393663,4476131,GERADO PELA UNIDADE
43393556,4476115,GERADO PELA UNIDADE
43393510,4145160,GERADO PELA UNIDADE
43415939,9070826,GERADO PELO MODELO
43415849,5954541,GERADO PELO MODELO
43393748,4145216,GERADO PELA UNIDADE
43393693,4146077,GERADO PELA UNIDADE
43393602,4460545,GERADO PELA UNIDADE
43393444,4072456,GERADO PELA UNIDADE
43415763,4145313,GERADO PELO MODELO
43393832,4460715,GERADO PELA UNIDADE
43393580,4127749,GERADO PELA UNIDADE
43393547,7221860,GERADO PELA UNIDADE
43393674,7221975,GERADO PELA UNIDADE
43393443,7222084,GERADO PELA UNIDADE
43393621,7222475,GERADO PELA UNIDADE
43393617,7222076,GERADO PELA UNIDADE
43393442,7222459,GERADO PELA UNIDADE
43393756,7222629,GERADO PELA UNIDADE
43393622,7222726,GERADO PELA UNIDADE
43393513,7222521,GERADO PELA UNIDADE
43393473,7223609,GERADO PELA UNIDADE
43345900,7881070,GERADO PELO MODELO
43393751,7880871,GERADO PELA UNIDADE
43345907,7953860,GERADO PELO MODELO
43345906,7953658,GERADO PELO MODELO
43345905,7950942,GERADO PELO MODELO
43393538,7953909,GERADO PELA UNIDADE
43345989,14374587,GERADO PELO MODELO
43345944,8759596,GERADO PELO MODELO
43415702,1831194,GERADO PELO MODELO
43393495,7919999,GERADO PELA UNIDADE
43345904,7950799,GERADO PELO MODELO
43393631,7952961,GERADO PELA UNIDADE
43345914,8021538,GERADO PELO MODELO
43415782,4466020,GERADO PELO MODELO
43393827,4466144,GERADO PELA UNIDADE
43415783,4466284,GERADO PELO MODELO
43415784,4466624,GERADO PELO MODELO
43393692,4466527,GERADO PELA UNIDADE
43393535,4466543,GERADO PELA UNIDADE
43393624,4466438,GERADO PELA UNIDADE
43393731,3202305,GERADO PELA UNIDADE
43393726,3202275,GERADO PELA UNIDADE
43393774,3202356,GERADO PELA UNIDADE
43393438,3202259,GERADO PELA UNIDADE
43345992,14376458,GERADO PELO MODELO
43415890,6352898,GERADO PELO MODELO
43393753,2532832,GERADO PELA UNIDADE
43415767,4449878,GERADO PELO MODELO
43415866,6067921,GERADO PELO MODELO
43415768,4450213,GERADO PELO MODELO
43393664,10219374,GERADO PELA UNIDADE
43345980,14101521,GERADO PELO MODELO
43345975,14040662,GERADO PELO MODELO
43393504,6202209,GERADO PELA UNIDADE
43345952,9631810,GERADO PELO MODELO
43345949,9075925,GERADO PELO MODELO
